,perusahaan,alamat,telepon,email,status,persentase,estimasi bulan,sektor_usaha,group/retail,trainer
806,"Nichols, Johnson and Dixon","631 Daniel Terrace
Markchester, SD 27439",001-472-395-6713x61535,amymorgan@example.net,closing,100,June,finansial,group,AL/BN/IM
807,Mcintosh LLC,"86098 Dawn Spur Apt. 367
West Scott, IN 66001",(330)648-4025x66113,mccannjeremy@example.net,closing,100,January,jasa,group,AL
808,Scott-Allen,"0593 Zavala Ways
South Kelly, KS 03069",472-635-2364,elizabethsimmons@example.com,closing,100,June,finansial,retail,Ext
809,"Ho, Rogers and Walters","21537 Gary Village Suite 906
Jefferyshire, VA 90490",(553)901-4692,sullivanshirley@example.org,closing,100,June,jasa,group,BN/AL/IM
810,"Schultz, Christian and Cline","7964 Russell Fall
Timothyview, OR 70051",395.280.2427x298,martindebbie@example.com,closing,100,May,pertambangan,group,Ext
811,"Flynn, Burns and Butler","24066 Murray Lock
North Taylorland, GA 18292",596.603.8404,sharprebecca@example.org,closing,100,February,industri,retail,Ext
812,Stewart-Perez,"54198 William Drive Suite 782
Gayview, FL 58284",4227307672,jasonjohnson@example.org,closing,100,October,perbankan,group,AL
813,"Garcia, Phillips and Christian","775 Webb Ways
Roberthaven, AL 07957",721-623-2583x2305,brichardson@example.org,closing,100,June,pertambangan,group,Ext
814,Woodard-Gutierrez,"659 Anderson Orchard Suite 073
Spenceton, OK 87325",(425)589-8444x023,garnerjames@example.org,closing,100,January,pertambangan,retail,BN/DP
815,"Molina, Weaver and Lee","389 John Circles
Torrestown, MP 61000",900-458-5083x2654,rebecca76@example.com,closing,100,February,jasa,retail,AL
816,Rodgers-Taylor,"214 Elizabeth Mills Apt. 234
Port James, NC 30452",754.690.6037x949,hmendez@example.com,closing,100,August,industri,group,BN/AL/IM
817,Brown Ltd,"65581 Pace Ways
New Connieberg, CT 54199",+1-363-873-1927x2289,mcarlson@example.com,closing,100,July,pertambangan,group,AL
818,Soto and Sons,"11727 Wade Neck Suite 167
North Samanthabury, PR 18114",593.641.5339,vjackson@example.net,closing,100,April,pariwisata,group,Ext
819,"Thornton, Miller and Ray","PSC 6000, Box 3444
APO AP 81595",001-229-807-0189x26449,shari68@example.net,closing,100,April,pertambangan,group,BN/DP
820,Quinn-Brown,"522 Vargas View
Stephaniestad, UT 45652",(362)327-2236x5123,christineharris@example.net,closing,100,June,finansial,retail,BN/AL/IM
821,"Brooks, Clark and Peterson","PSC 0593, Box 7956
APO AP 36315",297-306-9235,garciaamy@example.net,closing,100,February,perbankan,group,Ext
822,"Casey, Casey and Woods","445 Juarez Way
New Michael, SD 49514",820.443.3300,vsanchez@example.org,closing,100,September,finansial,group,Ext
823,"Adams, Rodriguez and Smith","PSC 4641, Box 1674
APO AE 05538",787.571.8451,harrisonchelsea@example.com,closing,100,November,pertambangan,retail,BN/AL/IM
824,"Jackson, Ford and Mendez","6488 Short Cliff
Alexandrafurt, AK 99478",001-267-544-5922,gina50@example.org,closing,100,July,finansial,group,BN/AL/IM
825,Vaughan-Leonard,"3170 David Pass
Joseborough, OH 17705",+1-453-754-7168,brownmargaret@example.org,closing,100,September,pertambangan,group,Ext
826,Madden-Tucker,"3033 Kenneth Walks Suite 043
Port Daniel, OK 40155",001-731-732-1199x554,samuelcarter@example.net,closing,100,July,pariwisata,group,BN/AL/IM
827,"Graham, Simmons and Compton","92286 Rachel Groves Apt. 321
Ryanfort, IA 85562",342-856-6482,jcox@example.org,closing,100,November,teknologi,group,Ext
828,Levine LLC,"06855 Benson Ford Apt. 691
Margaretshire, ME 80280",(958)385-6153x9395,oyoung@example.com,closing,100,December,pertambangan,group,BN/DP
829,"Richardson, White and Turner","2375 Adams Port Suite 904
Ginastad, CT 04379",(650)851-7186x6311,wward@example.org,closing,100,April,perdagangan,retail,AL
830,Lee LLC,"98579 Nicholson Grove Apt. 034
Port Christopher, NV 68364",339-884-8525,crawfordwilliam@example.org,closing,100,February,pariwisata,group,Ext
831,Smith and Sons,"737 Matthew Views
Lake Sherrystad, FL 97347",(925)226-2035,twilliams@example.net,closing,100,February,pariwisata,retail,"Ext, BN, AL"
832,Tanner Ltd,"9961 Kevin Center Apt. 589
Paulafurt, CO 48119",485.770.8694x35136,jessica32@example.com,closing,100,August,teknologi,group,Ext
833,"Gomez, Moore and Brown","367 Bryant Corners
Hayleyborough, PR 47006",+1-925-403-5716,yoderrobert@example.org,closing,100,September,jasa,retail,Ext
834,Orozco Group,"19764 Kara Summit
North Thomaschester, AR 89293",883.307.5215,gbennett@example.org,closing,100,June,jasa,group,BW
835,Ferguson-Taylor,"PSC 0358, Box 7790
APO AP 09094",(907)477-1893x925,briancortez@example.org,closing,100,May,pertambangan,retail,AL/BN/IM
836,"Garcia, Williams and Lopez","93349 Scott Freeway
South Nicholasshire, SC 79999",7479235541,nicoleestrada@example.net,closing,100,June,pertambangan,group,Ext
837,Glover-Vasquez,"934 Blackburn Roads
Murphybury, TX 53911",(255)970-4871x0675,benjaminporter@example.com,closing,100,April,pariwisata,retail,Ext
838,"Murray, Clayton and Johns","1250 Torres Fork
South Jerry, MI 84943",302.739.0436x40299,lindathomas@example.net,closing,100,September,teknologi,retail,BN/DP
839,"Martinez, Harrison and Carroll","760 Bobby Keys Apt. 902
Sawyerfort, WI 91291",(777)673-1052x217,alexanderdavenport@example.org,closing,100,November,jasa,group,AL
840,Ramirez PLC,"PSC 5322, Box 6867
APO AP 53950",717.480.8150,emilyrodriguez@example.org,closing,100,September,finansial,retail,Ext
841,Sherman-Stanley,"863 Patricia Estates Apt. 019
Allisonburgh, RI 98332",001-444-297-4065x6780,lpatel@example.org,closing,100,February,perdagangan,retail,AL
842,"Baker, Williamson and Patel","48144 Eric Rest
North Dustinside, GU 25466",714-638-3220,susanharris@example.com,closing,100,September,perbankan,retail,BN/AL/IM
843,Smith PLC,"3070 Jenna Way
Bernardhaven, HI 74016",001-865-981-4888x20275,wheelernathaniel@example.com,closing,100,January,teknologi,group,BN/AL/IM
844,"Smith, Mills and Roth","8389 Hubbard Parks Suite 966
Garrettmouth, IN 46209",+1-391-425-9139x16975,ssherman@example.com,closing,100,March,pertambangan,group,Ext
845,Benson Inc,"53076 Simon Unions
Michaelchester, PR 01268",(460)603-8643x6648,navarrotaylor@example.com,closing,100,February,pariwisata,retail,HH
846,"Mejia, Benson and Gonzalez","504 Justin Shores
Tanyastad, DC 47689",(944)898-3698x1330,whiteglenn@example.com,closing,100,November,finansial,retail,Ext
847,Powell-Farmer,"483 Martinez Station Suite 809
Weberborough, LA 58754",7746116178,maryfarrell@example.net,closing,100,April,pertambangan,retail,Ext
848,Lucas-Jennings,"63882 Wood Freeway Suite 075
Amyview, MT 82508",001-322-423-7122,david08@example.net,closing,100,August,pariwisata,retail,Ext
849,Lloyd and Sons,"79215 Michael Pines
East Josephside, KY 32816",420-991-4246,reyessean@example.net,closing,100,April,teknologi,group,AL/BN/IM
850,"Dunlap, Young and Whitaker","114 Patterson Stravenue
Kimberlyburgh, KS 19221",(496)868-7721x869,heather04@example.net,closing,100,May,pariwisata,group,BN/AL/IM
851,Simmons PLC,"012 Baker Spur
East Ashleyland, UT 54034",001-840-953-0862x11428,hwoodard@example.net,closing,100,March,perbankan,retail,Extrnal (Martoyo & Nanang)
852,Johnson Inc,"805 Gerald Wells
Thomasland, PR 07228",238-582-8596x1460,stanleyjulie@example.com,closing,100,July,perdagangan,retail,BN/DP
853,Bautista Group,"22944 Mary Plains Suite 901
Laurafort, TX 62674",(766)407-7019x25192,matthew63@example.net,closing,100,August,finansial,retail,BN/AL/IM
854,Green LLC,"41337 Jones Inlet Apt. 945
Port Brittany, VT 62005",7246400232,danielschneider@example.net,closing,100,November,teknologi,retail,BN/AL/IM
855,Juarez-Anderson,"115 Jeffrey Springs Apt. 642
Port Amy, CO 55313",+1-238-671-2283x74914,schmidtmatthew@example.com,closing,100,October,perdagangan,retail,BN/AL/IM
856,Macdonald PLC,"692 White Camp Apt. 444
North Terranceshire, WI 09767",(561)843-9567x220,sortiz@example.com,closing,100,December,perdagangan,retail,Ext
857,"Carr, Bell and Smith","849 Michael Estate
North Cynthiaville, MS 38714",773.638.6832,shane64@example.net,closing,100,October,jasa,group,Ext
858,"Le, Osborne and Williams","530 Dalton Circles Suite 175
Lake John, ND 70808",(923)744-7036x56382,uramsey@example.org,closing,100,May,pertambangan,group,AL
859,Moon and Sons,"945 Cheryl Plains
Lake Tina, HI 10144",954.549.0372,robertbaker@example.net,closing,100,December,perbankan,group,AL/BN/IM
860,Campbell Ltd,"852 Steven Garden
Codytown, CO 51103",2978113766,simpsonconnie@example.net,closing,100,June,perbankan,group,AL/BN/IM
861,Sandoval PLC,"3294 Mary Crossroad Apt. 434
Andersonside, MA 82989",+1-713-343-9957,williamsonbrian@example.net,closing,100,November,jasa,retail,BN/AL/IM
862,"Williams, Smith and Huerta","64713 Regina Neck
New Austinton, MO 16768",858-465-6783x4639,kyliewilson@example.net,closing,100,November,perbankan,group,BN/DP
863,Thomas Group,"190 Kim Haven
North Brucefort, OH 36542",3523286534,molly23@example.net,closing,100,June,perbankan,retail,Ext
864,Thomas and Sons,"195 Perez Stream Apt. 241
Lake Catherine, DE 48712",+1-857-745-7585x17034,fpatterson@example.com,closing,100,January,finansial,group,AL
865,Dixon Ltd,"283 Claudia Garden
Shieldston, GU 56100",898.588.6127x1259,njohnson@example.org,closing,100,August,pariwisata,group,AL/BN/IM
866,Parks PLC,"8315 Ochoa Forges Apt. 669
Vargasville, VT 42136",897-813-1696,brandon59@example.org,closing,100,December,pertambangan,group,AL
867,Vargas Inc,"606 Clark Coves Apt. 240
Joelberg, CT 81303",330.321.1129,samuelkim@example.com,closing,100,May,pertambangan,group,AL & BN
868,"Blevins, Robinson and Richards","455 Davis Mountain Suite 184
Cranestad, LA 25499",001-865-690-1661x23044,millerjoshua@example.org,closing,100,May,perbankan,group,AL/BN/IM
869,Huang Inc,"8058 Montes Row Suite 934
Amytown, AR 42429",+1-853-667-0761x086,usmith@example.net,closing,100,July,pariwisata,retail,AL
870,Bailey-Simpson,"806 Williams Run Apt. 937
Randystad, OR 47130",928-933-9587x9858,lucerosandra@example.net,closing,100,May,teknologi,group,AL/BN/IM
871,Clayton Ltd,"348 Daniels Coves Apt. 432
Turnerstad, NE 09163",412-558-5207x084,katrinawilliams@example.net,closing,100,September,pertambangan,retail,Ext
872,Ward-Olsen,"Unit 4108 Box 0060
DPO AE 02020",928-817-9158x057,sparker@example.net,closing,100,December,pariwisata,retail,AL
873,"Lambert, Barron and Anderson","4895 Debra Common Suite 587
West Angela, AR 11058",2855923419,mbennett@example.net,closing,100,January,pertambangan,retail,BN/DP
874,Hale-Guzman,"64874 Hanson Manors
East Richard, NC 38508",8628146576,zcollins@example.org,closing,100,July,finansial,retail,AL
875,"Baxter, Allen and Robinson","PSC 0514, Box 3114
APO AA 57372",(591)927-4562x4534,zsteele@example.org,closing,100,November,perbankan,retail,AL/BN/IM
876,Preston Group,"190 Navarro Stream
Sanfordton, RI 43423",+1-203-901-2657x5265,bryancrosby@example.net,closing,100,May,industri,retail,AL/BN/IM
877,"Murphy, Johnson and Glover","733 Butler Wells Suite 472
Juliechester, FM 25311",808-901-9310,franciscochavez@example.net,closing,100,January,perbankan,group,Ext
878,"Choi, Johnson and Grimes","089 Wood Heights
South Amber, MH 42585",+1-790-760-3509x78013,xmorrow@example.com,closing,100,August,perbankan,retail,BN/DP
879,Watts-Singh,"3827 Joshua Stream
New Robertfurt, MA 92547",258-622-7243,brandtmichael@example.com,closing,100,August,teknologi,group,Ext
880,Hernandez-Morgan,"05398 Courtney Drive
Arielhaven, NM 07078",001-228-665-3958x92821,gcox@example.net,closing,100,July,teknologi,retail,BN/DP
881,"Taylor, Duke and Obrien","0487 Walters Locks Suite 614
West James, NH 42234",(739)301-5004,okennedy@example.net,closing,100,December,teknologi,group,BN/DP
882,Novak-Rodriguez,"0669 Allen Circle
North Andrea, DC 02321",433-751-9736x1847,wmarshall@example.com,closing,100,October,pertambangan,retail,AL/BN/IM
883,Cannon-Garcia,"PSC 4764, Box 9360
APO AE 24026",752-342-3892,kimkari@example.com,closing,100,April,industri,retail,AL
884,"Rodriguez, Jennings and Sheppard","39959 Jerry Junction Suite 013
West Tiffanyville, VI 47008",+1-714-977-3349x86359,andreaross@example.org,closing,100,September,perdagangan,group,AL
885,Brown-Navarro,"57490 Paul Ridges Suite 035
North Sherylville, ID 90252",953-587-0580x921,daniellesloan@example.net,closing,100,July,pariwisata,group,AL
886,Boyd Group,"023 Megan Glen Apt. 219
Cardenasmouth, MS 32805",932-932-7964,lindadiaz@example.com,closing,100,March,jasa,retail,AL
887,Cobb-Lewis,"85909 Barrett Rue
Cassandraview, MT 38754",(822)925-2550x53068,lcherry@example.net,closing,100,June,pertambangan,group,Ext
888,"Ramirez, Jackson and Smith","15408 Delgado Roads Apt. 294
East Malloryfurt, CT 54711",629.321.8063x667,nharrison@example.net,closing,100,October,perdagangan,group,AL
889,Nguyen-Guerra,"98835 Shirley Groves
Port John, AK 50023",802.939.0438,atkinsdeborah@example.com,closing,100,April,perbankan,group,BN/DP
890,Lara Group,"Unit 1639 Box 0905
DPO AE 90905",+1-682-645-5895x72818,pachecobrett@example.net,closing,100,February,pertambangan,group,BN/DP
891,"Rangel, Wilson and Wilson","961 Smith Brooks
Natashaborough, VT 43962",001-896-949-8828x43477,biancacampbell@example.org,closing,100,August,teknologi,group,BN/AL/IM
892,Salazar-Taylor,"167 Tyrone Cliffs
East Emilymouth, KY 25543",(352)465-3007x48449,sandra04@example.org,closing,100,February,pertambangan,retail,AL/BN/IM
893,Davis-Martin,"Unit 0433 Box 3081
DPO AA 09663",607-621-7031,joseph43@example.org,closing,100,July,teknologi,group,AL/BN/IM
894,"Chapman, Rubio and Meyers","5498 Hall Mountain Apt. 965
New Amy, IN 19531",(224)638-4380x3673,veronica26@example.com,closing,100,April,industri,retail,Ext
895,"Daniels, Hoover and Anderson","477 Simpson Knoll
North Samuelmouth, IL 52138",(518)485-8155x323,littlecarolyn@example.org,closing,100,October,jasa,retail,Ext
896,Harper-Williams,"2376 Deborah Mountains
New Michellechester, KY 82814",701-272-4563,fmoyer@example.net,closing,100,June,industri,group,AL
897,Price Group,"579 Taylor View Suite 540
Thomasside, VA 09106",3944864742,cooperrobert@example.net,closing,100,January,perdagangan,retail,Ext
898,Jones-Jones,"82132 Joshua Port
Port Crystal, HI 73054",320-248-5431x8749,juliemcdonald@example.org,closing,100,August,pertambangan,retail,Ext
899,Rodgers-Thompson,"55793 Santiago Unions
East Brian, MI 56576",4438671519,garciajoann@example.net,closing,100,January,jasa,group,BN/AL/IM
900,"Wise, Huerta and Rice","2277 Harris Radial
Bauershire, MD 27533",9502498554,hernandezjohnny@example.org,closing,100,May,industri,group,BN/AL/IM
901,"Miller, Simpson and Reeves","5640 Rivas Mount
East Tonifort, OR 02085",787-786-1479x9011,aprilsmith@example.org,closing,100,July,perbankan,group,AL
902,Roberts-Davis,"883 Lloyd Inlet
Port Shelley, MA 20748",798-529-4807x075,brownwilliam@example.com,closing,100,May,pertambangan,retail,BN/AL/IM
903,Gomez-Rodriguez,"3529 Taylor Corner
Millerhaven, KS 49300",282-741-9938x7377,pauljohnson@example.org,closing,100,January,pariwisata,group,AL
904,Robinson-Smith,"USNV Silva
FPO AP 34059",001-842-510-7673,rodriguezjoseph@example.com,closing,100,January,finansial,group,BN/AL/IM
905,Powell-Coleman,"70595 Brown Lake
Mcdonaldstad, CA 51018",+1-693-685-5575x713,awebster@example.com,closing,100,June,pertambangan,retail,DP
906,"Orr, Thomas and Grant","3457 Khan Knolls Suite 318
Lake Courtneyview, CO 15404",(412)899-6334,robertalvarez@example.org,closing,100,June,perdagangan,group,AL
907,"Hill, Collins and Guerrero","506 Brenda Village Suite 442
Shirleyport, PW 36074",877-279-4644,melanie52@example.org,closing,100,January,teknologi,group,AL/BN/IM
908,White-Mays,"6680 Mindy Lakes Suite 671
Ricardoville, MO 46775",659.257.7542x98013,kelli26@example.org,closing,100,January,finansial,retail,Ext
909,"Castro, Preston and Lara","49975 Miller Meadow Suite 014
Candiceburgh, DC 01827",+1-596-354-6295x04885,brendaanderson@example.org,closing,100,April,perdagangan,retail,"Ext, BN, AL"
910,Perez-Miller,"32248 Mary Pines
Rogersshire, OH 76284",653.487.2423,evelyn36@example.org,closing,100,March,perdagangan,retail,AL/BN/IM
911,Roberts Inc,"3116 Franco Parkway Apt. 735
East Chelseaview, ND 04755",(703)373-7614x1853,tylertorres@example.net,closing,100,September,finansial,group,BN/AL/IM
912,Moore-Mccoy,"207 Andre Highway
Caseyland, WI 63425",+1-286-259-6181x80072,knorman@example.net,closing,100,February,industri,group,BN/AL
913,Le-Pruitt,"5433 Robert Wells
Katherineburgh, HI 29789",(403)977-8980x8295,kathyflores@example.org,closing,100,March,pariwisata,group,Ext
914,Brandt Ltd,"126 Archer Mountains
Melissahaven, DE 52884",+1-348-341-2786x313,michael52@example.com,closing,100,October,perdagangan,retail,Ext
915,Carroll Inc,"46403 Young Flat
West Amymouth, MT 82941",520-782-1118x36520,christopher33@example.net,closing,100,May,pertambangan,group,AL/BN/IM
916,Mccormick Inc,"254 Reed Estates Suite 026
Annshire, LA 07110",488.234.5471,eriksmith@example.net,closing,100,December,jasa,group,AL
917,"Moran, Jackson and Carr","PSC 7929, Box 3763
APO AE 95749",2014042226,james56@example.org,closing,100,June,perbankan,group,DP
918,Reynolds-Marshall,"77333 Sarah Prairie Apt. 262
New Stephen, MA 01066",226.855.0202x47473,bmyers@example.com,closing,100,February,pariwisata,group,NT
919,Patterson PLC,"3778 Hall Dale Apt. 269
Melissaport, CO 54310",4992403519,wsmith@example.net,closing,100,April,perdagangan,retail,AL/BN/IM
920,"Morgan, Ramirez and Jordan","613 Nguyen Mountains Apt. 050
Lake Johnfurt, NH 45313",(934)520-2833x1753,hayneshannah@example.net,closing,100,October,jasa,retail,AL/BN/IM
921,"Hunter, Scott and Costa","109 Gary Flats Suite 716
Michaeltown, AZ 65578",938.327.5886x599,richard75@example.net,closing,100,August,pariwisata,retail,AL
922,Ware-Roach,"PSC 3293, Box 2807
APO AE 86684",+1-893-391-0332x69641,heather80@example.net,closing,100,March,jasa,retail,BN/AL/IM
923,Dudley Ltd,"8243 Emily Views Apt. 004
East David, CT 55253",966-894-5842,oscarmccormick@example.org,closing,100,November,perbankan,group,Ext
924,Davis-Martin,"9995 Roger Walks
Robertburgh, KS 91773",(515)824-5677,crystal12@example.net,closing,100,October,perdagangan,retail,AL/BN/IM
925,"Lawrence, Hatfield and Lawson","5143 Elizabeth Forest Suite 305
Debraville, IL 41370",(881)249-3373x2684,landrykevin@example.com,closing,100,March,industri,group,Ext
926,Kelley-Mccoy,"602 Mcmillan Rapids
Port Carlosfort, IN 12379",735.921.2051x3808,hlopez@example.org,closing,100,March,pariwisata,retail,Ext
